"Hair" "Eye" "Sex"
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Blond" "Hazel" "Male"
"Black" "Green" "Male"
"Brown" "Green" "Male" 
"Red" "Green" "Male"
"Blond" "Green" "Male"
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Red" "Blue" "Female"
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Black" "Hazel" "Female"
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Red" "Hazel" "Female"
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Red" "Brown" "Male" 
"Blond" "Brown" "Male"
"Black" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Blond" "Hazel" "Male"
"Black" "Green" "Male"
"Brown" "Green" "Male" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Red" "Blue" "Female"
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Black" "Hazel" "Female"
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Red" "Hazel" "Female"
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Red" "Brown" "Male" 
"Blond" "Brown" "Male"
"Black" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Blond" "Hazel" "Male"
"Black" "Green" "Male"
"Brown" "Green" "Male" 
"Red" "Green" "Male"
"Blond" "Green" "Male"
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Red" "Blue" "Female"
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Black" "Hazel" "Female"
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Red" "Hazel" "Female"
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Red" "Brown" "Male" 
"Blond" "Brown" "Male"
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Blond" "Hazel" "Male"
"Black" "Green" "Male"
"Brown" "Green" "Male" 
"Red" "Green" "Male"
"Blond" "Green" "Male"
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Red" "Blue" "Female"
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Red" "Brown" "Male" 
"Blond" "Brown" "Male"
"Black" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Red" "Blue" "Female"
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Black" "Hazel" "Female"
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Red" "Hazel" "Female"
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Blond" "Hazel" "Male"
"Black" "Green" "Male"
"Brown" "Green" "Male" 
"Red" "Green" "Male"
"Blond" "Green" "Male"
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Red" "Blue" "Female"
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Black" "Hazel" "Female"
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Red" "Hazel" "Female"
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Red" "Brown" "Male" 
"Blond" "Brown" "Male"
"Black" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Blond" "Hazel" "Male"
"Black" "Green" "Male"
"Brown" "Green" "Male" 
"Red" "Green" "Male"
"Blond" "Green" "Male"
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Black" "Hazel" "Female"
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Red" "Hazel" "Female"
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Black" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Brown" "Brown" "Male" 
"Red" "Brown" "Male" 
"Blond" "Brown" "Male"
"Black" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Brown" "Blue" "Male" 
"Red" "Blue" "Male" 
"Blond" "Blue" "Male" 
"Blond" "Green" "Male"
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
"Blond" "Brown" "Female"
"Black" "Blue" "Female"
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Brown" "Blue" "Female" 
"Red" "Blue" "Female"
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Blond" "Blue" "Female" 
"Black" "Hazel" "Female"
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Brown" "Hazel" "Female" 
"Red" "Hazel" "Female"
"Blond" "Hazel" "Female"
"Black" "Green" "Female"
"Brown" "Green" "Female" 
"Brown" "Green" "Female" 
"Red" "Green" "Female"
"Blond" "Green" "Female"
"Black" "Brown" "Male" 
"Blond" "Blue" "Male" 
"Black" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Brown" "Hazel" "Male" 
"Red" "Hazel" "Male"
"Blond" "Hazel" "Male"
"Black" "Green" "Male"
"Brown" "Green" "Male" 
"Red" "Green" "Male"
"Blond" "Green" "Male"
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Black" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Brown" "Brown" "Female" 
"Red" "Brown" "Female" 
"Red" "Brown" "Female" 
